Pkg count,Package names,Imported name,Imported signature
22,"bignum, bufferutil, canvas, couchbase, fibers, hiredis, iconv, images, kerberos, leveldown, libxmljs, lwip, midi, mmmagic, node-hid, nodegit, protagonist, ref, sqlite3, utf-8-validate, websocket, zmq",v8::V8::MakeWeak,"private: static void __cdecl v8::V8::MakeWeak(class v8::internal::Object * __ptr64 * __ptr64,void * __ptr64,void (__cdecl*)(class v8::WeakCallbackInfo<void> const & __ptr64),enum v8::WeakCallbackType)"
21,"bcrypt, bufferutil, canvas, ffi, hiredis, iconv, images, kerberos, lame, leveldown, libxmljs, lwip, node-hid, nodegit, ref, serialport, speaker, sqlite3, utf-8-validate, websocket, zmq",node::Buffer::Data,char * __ptr64 __cdecl node::Buffer::Data(class v8::Local<class v8::Object>)
21,"bignum, bufferutil, canvas, couchbase, fibers, hiredis, images, kerberos, leveldown, libxmljs, lwip, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, sqlite3, utf-8-validate, websocket, zmq",v8::FunctionTemplate::InstanceTemplate,public: class v8::Local<class v8::ObjectTemplate> __cdecl v8::FunctionTemplate::InstanceTemplate(void) __ptr64
21,"bignum, bufferutil, canvas, couchbase, deasync, fibers, hiredis, images, kerberos, leveldown, libxmljs, lwip, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, utf-8-validate, websocket, zmq",v8::Object::InternalFieldCount,public: int __cdecl v8::Object::InternalFieldCount(void) __ptr64
21,"bignum, bufferutil, canvas, couchbase, deasync, fibers, hiredis, images, kerberos, leveldown, libxmljs, lwip, midi, mmmagic, node-hid, node-sass, nodegit, sqlite3, utf-8-validate, websocket, zmq",v8::Template::Set,"public: void __cdecl v8::Template::Set(class v8::Local<class v8::Name>,class v8::Local<class v8::Data>,enum v8::PropertyAttribute) __ptr64"
20,"bignum, bufferutil, canvas, couchbase, fibers, hiredis, images, kerberos, leveldown, libxmljs, lwip, midi, mmmagic, node-hid, nodegit, protagonist, sqlite3, utf-8-validate, websocket, zmq",v8::V8::ClearWeak,private: static void * __ptr64 __cdecl v8::V8::ClearWeak(class v8::internal::Object * __ptr64 * __ptr64)
19,"bcrypt, canvas, couchbase, deasync, ffi, kerberos, lame, leveldown, lwip, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, serialport, speaker, sqlite3, zmq",uv_default_loop,uv_default_loop
19,"bcrypt, bignum, canvas, ffi, fibers, hiredis, images, kerberos, leveldown, libxmljs, lwip, mmmagic, node-hid, node-sass, nodegit, ref, serialport, sqlite3, zmq",v8::Exception::Error,public: static class v8::Local<class v8::Value> __cdecl v8::Exception::Error(class v8::Local<class v8::String>)
19,"bignum, bufferutil, canvas, couchbase, ffi, fibers, iconv, images, kerberos, leveldown, libxmljs, lwip, midi, mmmagic, node-hid, nodegit, protagonist, utf-8-validate, websocket",v8::FunctionTemplate::GetFunction,public: class v8::Local<class v8::Function> __cdecl v8::FunctionTemplate::GetFunction(void) __ptr64
19,"bignum, canvas, couchbase, deasync, fibers, hiredis, iconv, images, kerberos, leveldown, libxmljs, lwip, midi, mmmagic, node-hid, node-sass, nodegit, sqlite3, zmq",v8::Object::SlowGetAlignedPointerFromInternalField,private: void * __ptr64 __cdecl v8::Object::SlowGetAlignedPointerFromInternalField(int) __ptr64
18,"bcrypt, canvas, couchbase, ffi, hiredis, images, kerberos, lame, leveldown, libxmljs, mmmagic, ref, serialport, speaker, sqlite3, utf-8-validate, websocket, zmq",node::Buffer::HasInstance,bool __cdecl node::Buffer::HasInstance(class v8::Local<class v8::Value>)
18,"canvas, couchbase, hiredis, kerberos, lame, leveldown, libxmljs, lwip, microtime, midi, mmmagic, node-hid, node-sass, nodegit, protagonist, serialport, sqlite3, zmq",v8::Array::New,"public: static class v8::Local<class v8::Array> __cdecl v8::Array::New(class v8::Isolate * __ptr64,int)"
18,"bcrypt, bignum, canvas, couchbase, deasync, hiredis, images, lame, libxmljs, lwip, microtime, node-sass, nodegit, ref, serialport, speaker, sqlite3, zmq",v8::FunctionTemplate::GetFunction,public: class v8::MaybeLocal<class v8::Function> __cdecl v8::FunctionTemplate::GetFunction(class v8::Local<class v8::Context>) __ptr64
18,"bignum, canvas, couchbase, ffi, iconv, kerberos, lame, leveldown, libxmljs, lwip, microtime, midi, node-hid, nodegit, serialport, speaker, sqlite3, zmq",v8::Integer::New,"public: static class v8::Local<class v8::Integer> __cdecl v8::Integer::New(class v8::Isolate * __ptr64,int)"
18,"bignum, canvas, couchbase, fibers, hiredis, images, lame, leveldown, libxmljs, lwip, microtime, midi, node-sass, nodegit, protagonist, ref, sqlite3, zmq",v8::Number::New,"public: static class v8::Local<class v8::Number> __cdecl v8::Number::New(class v8::Isolate * __ptr64,double)"
18,"bcrypt, bignum, canvas, couchbase, ffi, kerberos, lame, leveldown, libxmljs, lwip, node-hid, node-sass, nodegit, protagonist, ref, serialport, sqlite3, zmq",v8::Object::New,public: static class v8::Local<class v8::Object> __cdecl v8::Object::New(class v8::Isolate * __ptr64)
18,"bcrypt, bufferutil, canvas, deasync, ffi, hiredis, kerberos, lame, libxmljs, lwip, microtime, node-sass, nodegit, serialport, sqlite3, utf-8-validate, websocket, zmq",v8::Object::Set,"public: class v8::Maybe<bool> __cdecl v8::Object::Set(class v8::Local<class v8::Context>,class v8::Local<class v8::Value>,class v8::Local<class v8::Value>) __ptr64"
17,"bcrypt, canvas, couchbase, ffi, kerberos, leveldown, libxmljs, lwip, midi, mmmagic, node-hid, node-sass, nodegit, serialport, speaker, sqlite3, zmq",node::MakeCallback,"class v8::Local<class v8::Value> __cdecl node::MakeCallback(class v8::Isolate * __ptr64,class v8::Local<class v8::Object>,class v8::Local<class v8::Function>,int,class v8::Local<class v8::Value> * __ptr64)"
17,"bcrypt, canvas, couchbase, ffi, fibers, kerberos, lame, leveldown, lwip, mmmagic, node-hid, node-sass, nodegit, protagonist, serialport, speaker, zmq",v8::Context::Global,public: class v8::Local<class v8::Object> __cdecl v8::Context::Global(void) __ptr64
17,"bcrypt, bignum, canvas, fibers, hiredis, images, libxmljs, midi, mmmagic, node-sass, protagonist, ref, serialport, sqlite3, utf-8-validate, websocket, zmq",v8::Exception::TypeError,public: static class v8::Local<class v8::Value> __cdecl v8::Exception::TypeError(class v8::Local<class v8::String>)
17,"bignum, canvas, couchbase, fibers, hiredis, images, kerberos, leveldown, libxmljs, lwip, midi, mmmagic, node-hid, node-sass, nodegit, sqlite3, zmq",v8::FunctionTemplate::PrototypeTemplate,public: class v8::Local<class v8::ObjectTemplate> __cdecl v8::FunctionTemplate::PrototypeTemplate(void) __ptr64
17,"bignum, canvas, couchbase, fibers, hiredis, images, kerberos, leveldown, libxmljs, lwip, midi, mmmagic, node-hid, node-sass, nodegit, sqlite3, zmq",v8::Signature::New,"public: static class v8::Local<class v8::Signature> __cdecl v8::Signature::New(class v8::Isolate * __ptr64,class v8::Local<class v8::FunctionTemplate>)"
16,"bcrypt, canvas, ffi, kerberos, lame, leveldown, lwip, mmmagic, node-hid, node-sass, nodegit, protagonist, serialport, speaker, sqlite3, zmq",uv_queue_work,uv_queue_work
